ligand,receptor
EFNA5,EPHA3
TGFA,EGFR
CCL7,CCR3
BMP7,BMPR1A+BMPR2
COL1A2,ITGA10+ITGB1
FASLG,FAS
CXCL1,CXCR1
EFNA1,EPHA7
MSTN,ACVR1B+ACVR2B
EFNA3,EPHA1
ANGPT1,TEK
COL6A3,ITGA1+ITGB1
CXCL3,CXCR2
VEGFA,FLT1
CTLA4,CD86
FN1,ITGA4+ITGB1
CXCL11,ACKR3
FGF9,FGFR4
TNFSF13B,TNFRSF13B
GDF11,TGFBR1+ACVR2A
EFNA1,EPHA3
IL16,CD4
AREG,EGFR
HBEGF,ERBB4
SEMA4A,PLXNB1
BMP8A,ACVR1+BMPR2
IL37,IL18R1+SIGIRR
MDK,ALK
FN1,ITGAV+ITGB3
PVR,TIGIT
C3,C3AR1
DLL3,NOTCH2
TNFSF18,TNFRSF18
DLL4,NOTCH1
MIF,CD74
SPP1,ITGAV+ITGB1
CCL23,CCR1
RARRES2,CCRL2
CDH1,ITGAE+ITGB7
TNFSF4,TNFRSF4
IFNL1,IL10RB+IFNLR1
CCL15,CCR3
COL2A1,ITGA2+ITGB1
COL4A5,ITGA2+ITGB1
COL6A1,ITGA2+ITGB1
JAG1,NOTCH2
BMP8B,ACVR1+BMPR2
CCL7,CCR1
C3,ITGAM+ITGB2
IL1A,IL1R1+IL1RAP
BTC,ERBB4
BTLA,TNFRSF14
HBEGF,EGFR
CXCL9,CXCR3
FN1,ITGAV+ITGB6
PTHLH,PTH2R
CXCL8,CXCR2
PRL,PRLR
SPP1,ITGA8+ITGB1
LGALS9,HAVCR2
CCL5,CCR4
BMP8A,ACVR1+ACVR2B
JAG1,NOTCH1
COL4A5,ITGA1+ITGB1
CCL4,CCR5
GDF10,ACVR1B+ACVR2B
JAG2,NOTCH2
CD274,PDCD1
CORT,SSTR1
EREG,ERBB4
PGF,NRP2
FGF9,FGFR2
EFNB2,EPHA4
CCL7,CCR5
NPPC,NPR2
CCL25,CCR9
VEGFD,KDR
COL4A2,ITGA11+ITGB1
GAS6,AXL
RARRES2,CMKLR1
COL9A2,ITGA11+ITGB1
EFNA4,EPHA2
BMP8A,ACVR1+ACVR2A
BTC,EGFR
COL6A1,ITGA10+ITGB1
NECTIN3,TIGIT
TSLP,IL7R+CRLF2
CCL3,ACKR2
EFNB2,EPHB3
FGF7,FGFR2
IL1B,IL1R2+IL1RAP
IL17F,IL17RA+IL17RC
IFNB1,IFNAR1+IFNAR2
XCL2,XCR1
CCL11,CCR2
DLL4,NOTCH2
INHBA,ACVR1B+ACVR2B
CD6,ALCAM
HGF,MET
SPP1,CD44
CSF3,CSF3R
EFNB1,EPHB3
VTN,ITGAV+ITGB5
CCL28,CCR10
EFNA1,EPHA4
COL6A2,ITGA11+ITGB1
SPP1,ITGAV+ITGB3
PTHLH,PTH1R
SAA1,FPR2
CXCL8,ACKR1
CXCL11,CXCR3
CCL17,ACKR1
CCL5,ACKR2
FGF9,FGFR3
COL9A2,ITGA1+ITGB1
LTA,TNFRSF14
CCL3L1,CCR3
CCL5,CCR3
DSC2,DSG2
BMP8A,BMPR1A+ACVR2B
BMP4,BMPR1A+ACVR2B
BMP6,ACVR1+ACVR2A
C3,CR2
VEGFA,NRP2
BMP8B,ACVR1+ACVR2A
BMP8A,BMPR1A+ACVR2A
DLL1,NOTCH2
BMP6,BMPR1A+ACVR2B
CCL11,ACKR1
POMC,OPRD1
DLL4,NOTCH4
ENTPD1,ADORA2B
ICOSLG,ICOS
PLAU,PLAUR
CCL3,CCR5
CCL28,CCR3
VCAM1,ITGA4+ITGB7
CCL3,CCR1
CCL5,ACKR1
LTA,TNFRSF1A
FN1,ITGAV+ITGB1
LTA,TNFRSF1B
FGF20,FGFR1
TNFSF10,TNFRSF10D
EFNA2,EPHA4
COL4A2,ITGA1+ITGB1
FGF20,FGFR2
NCR3LG1,NCR3
COL6A6,ITGA10+ITGB1
EFNB1,EPHB4
PF4V1,CXCR3
COL4A4,ITGA2+ITGB1
IL34,CSF1R
PDGFB,PDGFRA
OXT,OXTR
FLT3LG,FLT3
NECTIN2,TIGIT
CD58,CD2
PGF,NRP1
CCL13,CCR3
MDK,SDC4
IL17C,IL17RA+IL17RE
GAL,GALR2
NMU,NMUR1
IL21,IL21R+IL2RG
MDK,LRP1
FGF17,FGFR1
EFNA3,EPHA4
EDN1,EDNRA
CD40LG,ITGAM+ITGB2
THBS1,SDC4
NECTIN3,NECTIN2
