ligand,receptor
SPP1,ITGAV+ITGB1
ENHO,GPR19
GDF3,ACVR1B+ACVR2B
NTS,NTSR1
JAG2,NOTCH2
EFNA5,EPHA4
PENK,OPRM1
BMP8A,ACVR1+ACVR2A
FGF22,FGFR2
FGF23,FGFR4
EFNA4,EPHA4
LIF,LIFR+IL6ST
TNFSF10,TNFRSF10C
CD70,CD27
IL7,IL7R+IL2RG
PROS1,TYRO3
CCL16,HRH4
TNFSF12,TNFRSF12A
BMP8A,BMPR1A+ACVR2B
PTPRC,CD22
COL4A3,ITGA10+ITGB1
EFNA3,EPHA1
SPP1,ITGA8+ITGB1
MDK,ALK
LEP,LEPR
BMP7,BMPR1A+ACVR2B
TNF,TNFRSF1A
CCL17,ACKR2
CCL14,ACKR1
CCL5,CCR3
CD58,CD2
SCT,SCTR
APP,CD74
GDF6,BMPR1A+BMPR2
FN1,ITGAV+ITGB3
CCL8,CCR5
VCAM1,ITGA9+ITGB1
FGF20,FGFR4
BMP6,BMPR1A+ACVR2A
VCAM1,ITGA4+ITGB1
MADCAM1,ITGA4+ITGB7
COL4A3,ITGA11+ITGB1
TGFB2,TGFBR1+TGFBR2
CD80,CD28
FGF9,FGFR3
EFNB3,EPHB4
CCL3L1,CCR3
CCL25,ACKR4
TNFSF18,TNFRSF18
INSL3,RXFP1
NGF,NGFR
CCL8,ACKR1
XCL2,XCR1
VEGFA,NRP1
EFNA3,EPHA8
CD40LG,ITGA5+ITGB1
SPN,ICAM1
AREG,EGFR
SEMA4A,PLXNB1
CCL23,CCR1
NPPC,NPR2
CCL19,ACKR4
COL4A2,ITGA2+ITGB1
F11R,JAM2
TNFSF14,TNFRSF14
SLIT1,ROBO1
GDF6,BMPR1A+ACVR2B
EFNB2,EPHB2
TNFSF13,TNFRSF17
CD99,PILRA
IL10,IL10RA+IL10RB
CXCL8,CXCR1
BMP8A,BMPR1A+ACVR2A
CXCL12,ACKR3
EFNA1,EPHA8
EFNB1,EPHB4
COL6A1,ITGA10+ITGB1
C3,C3AR1
BMP7,ACVR1+ACVR2B
SELPLG,SELL
VEGFA,FLT1+KDR
FGF1,FGFR2
EFNA1,EPHA2
CCL1,CCR8
CX3CL1,CX3CR1
VCAM1,ITGA4+ITGB7
NECTIN3,PVR
ALCAM,CD6
BMP8B,ACVR1+ACVR2A
EFNB1,EPHB2
COL1A1,ITGA1+ITGB1
SEMA3F,NRP2
LGALS9,HAVCR2
COL6A2,ITGA10+ITGB1
IHH,PTCH2
EFNB1,EPHB1
INHBB,ACVR1B+ACVR2B
CD6,ALCAM
PGF,NRP2
FN1,ITGAV+ITGB1
JAG1,NOTCH1
CCL22,ACKR2
CCL16,CCR1
SELPLG,SELP
GDF11,ACVR1B+ACVR2B
CCL7,ACKR1
BMP4,BMPR1A+BMPR2
CCL19,CCR7
NCAM1,FGFR1
EFNB1,EPHA4
CXCL5,CXCR1
PTHLH,PTH1R
CCL17,CCR4
PMCH,MCHR1
LTA,TNFRSF14
EFNA5,EPHA7
NTF3,NTRK3
SEMA4A,PLXNB2
INHBB,ACVR1B+ACVR2A
JAG2,NOTCH4
BMP7,BMPR1A+ACVR2A
CD28,CD86
COL9A3,ITGA10+ITGB1
CCL7,CCR3
SEMA4D,PLXNB1
ANXA1,FPR2
CCL16,CCR8
CD226,PVR
CTLA4,CD86
COL4A4,ITGA1+ITGB1
FGF2,FGFR3
SEMA6A,PLXNA4
CXCL11,CXCR3
OXT,OXTR
WNT5A,FZD5
VTN,ITGAV+ITGB5
FGF18,FGFR1
CCL13,CCR2
EFNA3,EPHA2
CCL13,ACKR1
CCL2,ACKR1
CCL2,ACKR2
FN1,ITGA5+ITGB1
EFNB1,EPHB3
COL9A3,ITGA2+ITGB1
IHH,PTCH1
SEMA4C,PLXNB2
VEGFC,FLT4
VEGFB,FLT1+KDR
BTLA,TNFRSF14
CCL8,CCR1
EFNA3,EPHA3
CCL17,ACKR1
FGF23,FGFR3
COL4A1,ITGA1+ITGB1
ICAM1,SPN
CCL3,CCR1
EDN2,EDNRB
COL6A2,ITGA11+ITGB1
JAG2,NOTCH3
CCL11,CCR2
EFNB3,EPHB2
NCR3LG1,NCR3
CCL3L1,ACKR2
FGF20,FGFR1
SEMA3C,NRP2
PDGFB,PDGFRB
CXCL13,CXCR5
EFNA3,EPHA4
JAM2,F11R
IFNG,IFNGR1+IFNGR2
RLN1,RXFP1
EFNB3,EPHB6
ITGB2,CD226
COL6A1,ITGA2+ITGB1
EFNA5,EPHA1
BMP8B,ACVR1+ACVR2B
FGF17,FGFR3
MDK,LRP1
VEGFC,KDR
NRG1,ERBB3
DLL3,NOTCH1
LTA,TNFRSF1B
EDN2,EDNRA
COL1A2,ITGA1+ITGB1
ITGB2,ICAM2
CXCL10,CXCR3
ANGPT2,TEK
EPO,EPHB4
FGF17,FGFR1
TGFB3,TGFBR1+TGFBR2
RARRES2,GPR1
IL1B,IL1R1+IL1RAP
INHBA,ACVR1B+ACVR2A
MDK,SDC4
HGF,MET
CD46,JAG1
EFNB3,EPHA4
INHBA+INHBB,ACVR1B+ACVR2A
SELE,CD44
TNFSF10,TNFRSF10B
COL1A2,ITGA2+ITGB1
NECTIN3,NECTIN1
CDH1,KLRG1
SELP,SELPLG
EFNB3,EPHB1
BAG6,NCR3
TNFSF10,TNFRSF10A
CCL4,ACKR2
PDGFD,PDGFRB
GAS6,MERTK
DLL1,NOTCH3
TIGIT,PVR
NRG2,ERBB3
CXCL11,ACKR3
COL6A3,ITGA11+ITGB1
COL6A3,ITGA1+ITGB1
CXCL12,CXCR4
EFNA1,EPHA1
CCL8,CCR2
HBEGF,EGFR
CDH1,ITGAE+ITGB7
BMP7,ACVR1+BMPR2
CCL23,FPR2
PSAP,GPR37
ITGB2,ICAM1
IL15,IL15RA+IL2RB
EFNB1,EPHB6
BMP6,ACVR1+ACVR2B
FGF9,FGFR1
THBS1,SDC4
TNFSF11,TNFRSF11A
CCL11,ACKR1
PVR,CD226
CCL5,CCR5
GDF10,ACVR1B+ACVR2B
ANGPT4,TEK
DLL1,NOTCH2
CCL8,ACKR2
EDA,EDA2R
BMP6,BMPR1A+BMPR2
COL4A1,ITGA11+ITGB1
BMP6,BMPR1A+ACVR2B
BMP8B,ACVR1+BMPR2
SEMA4A,PLXND1
ANGPT1,TEK
FASLG,FAS
AMH,AMHR2+ACVR1
NTF3,NTRK2
TNFSF8,TNFRSF8
TNFSF13B,TNFRSF13C
CCL14,ACKR2
VEGFA,FLT1
PVR,TIGIT
CCL28,CCR10
PTHLH,PTH2R
COL6A1,ITGA11+ITGB1
PGF,NRP1
IL16,CD4
COL1A2,ITGA10+ITGB1
TNF,TNFRSF1B
CTF1,LIFR+IL6ST
CD40LG,CD40
FGF17,FGFR2
CCL13,CCR3
IL2,IL2RA+IL2RB+IL2RG
COL4A2,ITGA1+ITGB1
CD22,PTPRC
GRN,SORT1
COL9A2,ITGA11+ITGB1
EFNA1,EPHA3
KITLG,KIT
TNFSF13B,TNFRSF13B
COL4A3,ITGA2+ITGB1
SHH,PTCH1
COL4A4,ITGA10+ITGB1
COL6A3,ITGA2+ITGB1
CD274,PDCD1
FGF1,FGFR1
HLA-F,LILRB1
TNFSF9,TNFRSF9
BMP6,ACVR1+ACVR2A
IL17B,IL17RB
CXCL3,CXCR2
EFNA4,EPHA8
CD48,CD244
EPO,EPOR
EFNB3,EPHB3
IL11,IL11RA+IL6ST
CD40LG,ITGAM+ITGB2
FN1,ITGA3+ITGB1
COL1A1,ITGA11+ITGB1
FN1,ITGA4+ITGB7
NTF3,NTRK1
DLL1,NOTCH1
CXCL1,CXCR1
CXCL6,CXCR1
NECTIN2,TIGIT
LTA,TNFRSF1A
AVP,AVPR2
GHRH,VIPR1
TIGIT,NECTIN2
CCL4,CCR5
BMP8B,BMPR1A+ACVR2B
COL4A2,ITGA11+ITGB1
CCL28,CCR3
SPP1,ITGAV+ITGB5
CSF2,CSF2RA+CSF2RB
PDGFA,PDGFRA
OSM,OSMR+IL6ST
TGFA,EGFR
IGF1,IGF1R
FN1,ITGA4+ITGB1
SIGLEC1,SPN
CCL5,CCR4
GDF7,BMPR1A+BMPR2
HLA-E,KLRD1+KLRC1
VEGFA,NRP2
COL6A3,ITGA10+ITGB1
KISS1,KISS1R
EFNA5,EPHB2
GDF7,BMPR1A+ACVR2B
COL4A4,ITGA11+ITGB1
BMP7,BMPR1A+BMPR2
CCL7,ACKR2
GUCA2B,GUCY2C
FGF1,FGFR3
GDF7,BMPR1A+ACVR2A
CCL3L1,CCR1
COL9A3,ITGA1+ITGB1
CXCL9,CXCR3
IL34,CSF1R
DSC2,DSG2
FGF9,FGFR2
BTC,EGFR
IL1B,IL1R2+IL1RAP
CXCL8,ACKR1
DLL4,NOTCH3
EFNB2,EPHB3
PTN,ALK
VEGFB,NRP1
SEMA4G,PLXNB2
PTPRC,MRC1
NMU,NMUR1
CXCL8,CXCR2
CCL3,CCR5
DLL3,NOTCH2
SELL,CD34
TNFSF13B,TNFRSF17
CCL7,CCR5
IL6,IL6R+IL6ST
JAG2,NOTCH1
PF4V1,CXCR3
POMC,OPRM1
POMC,MC1R
COL4A3,ITGA1+ITGB1
SEMA3E,PLXND1
EFNA4,EPHA7
CCL16,CCR2
IFNB1,IFNAR1+IFNAR2
COL4A1,ITGA2+ITGB1
GDF6,BMPR1A+ACVR2A
SPP1,CD44
GDF3,ACVR1B+ACVR2A
EFNA4,EPHA3
IL13,IL13RA2
TNFSF11,TNFRSF11B
PROS1,AXL
PDGFC,PDGFRA
EFNB2,EPHA4
CCL13,ACKR2
CCL15,CCR1
FGF23,FGFR1
FLT3LG,FLT3
CCL22,CCR4
INHBA,ACVR1B+ACVR2B
DLL3,NOTCH3
BMP8A,ACVR1+ACVR2B
COL1A1,ITGA2+ITGB1
EFNA1,EPHA4
DLL4,NOTCH4
IL17C,IL17RA+IL17RE
COL9A2,ITGA10+ITGB1
CXCL1,ACKR1
GAS6,AXL
BMP4,BMPR1A+ACVR2A
EFNA4,EPHA2
CXCL3,CXCR1
CD226,NECTIN2
TNFSF15,TNFRSF25
ICAM1,ITGAL
PDCD1LG2,PDCD1
FGF1,FGFR4
COL4A4,ITGA2+ITGB1
GDF11,TGFBR1+ACVR2B
RARRES2,CCRL2
CCL15,CCR3
BTC,ERBB3
BMP6,ACVR1+BMPR2
CCL19,CCRL2
C3,ITGAX+ITGB2
CXCL5,ACKR1
FGF18,FGFR2
VEGFB,FLT1
BMP8B,BMPR1A+BMPR2
SEMA4D,PLXNB2
SPP1,ITGA5+ITGB1
CD86,CTLA4
CXCL16,CXCR6
CD86,CD28
EFNA5,EPHA2
IL13,IL13RA1+IL4R
FGF2,FGFR2
TNFSF13,TNFRSF13B
ANXA1,FPR1
SEMA7A,PLXNC1
EDN1,EDNRA
CSF1,CSF1R
BMP4,BMPR1A+ACVR2B
VEGFA,KDR
CXCL2,CXCR2
GAS6,TYRO3
SPP1,ITGAV+ITGB3
FGF7,FGFR2
CCL5,CCR1
EREG,EGFR
IL2,IL2RB+IL2RG
IFNL1,IL10RB+IFNLR1
COL9A2,ITGA2+ITGB1
CXCL2,CXCR1
RARRES2,CMKLR1
CCL3,ACKR2
COL6A2,ITGA1+ITGB1
AVP,AVPR1B
CCL5,ACKR2
ENTPD1,ADORA1
CXCL6,CXCR2
COL9A2,ITGA1+ITGB1
THBS2,CD36
COL4A2,ITGA10+ITGB1
ENTPD1,ADORA2A
IL24,IL22RA1+IL20RB
OSM,LIFR+IL6ST
COL6A1,ITGA1+ITGB1
ENTPD1,ADORA2B
IL4,IL4R+IL2RG
DLL1,NOTCH4
GDF11,ACVR1B+ACVR2A
EGF,EGFR
CCL18,CCR8
IL18,IL18R1+IL18RAP
CCL20,CCR6
BMP8A,ACVR1+BMPR2
KNG1,BDKRB2
PDGFB,PDGFRA
APLN,APLNR
NECTIN3,TIGIT
DLL4,NOTCH1
CCL2,CCR2
CD80,CTLA4
FGF2,FGFR4
SPP1,ITGA9+ITGB1
DLL4,NOTCH2
TNFSF14,LTBR
SEMA4D,CD72
BMP8A,BMPR1A+BMPR2
JAM3,F11R
BMP2,BMPR1A+BMPR2
NECTIN2,CD226
FGF20,FGFR2
CCL14,CCR1
THBS1,CD36
CXCL1,CXCR2
FGF18,FGFR3
CXCL13,ACKR4
GDF9,TGFBR1+BMPR2
FGF9,FGFR4
NECTIN3,NECTIN2
EFNB2,EPHB1
SPP1,ITGA4+ITGB1
FN1,ITGA8+ITGB1
PTPRC,SEMA4D
TNFSF4,TNFRSF4
SAA1,FPR2
CCL7,CCR2
COL1A1,ITGA10+ITGB1
MST1,MST1R
BMP2,BMPR1A+ACVR2B
XCL1,XCR1
JAG1,NOTCH2
NECTIN1,CD96
MIF,CD74
CXCL13,CXCR3
BMP8B,BMPR1A+ACVR2A
CCL5,ACKR1
COL1A2,ITGA11+ITGB1
EFNA1,EPHA7
QRFP,QRFPR
CCL11,ACKR2
CCL11,CCR3
ICOSLG,ICOS
LGALS9,CD44
FN1,ITGAV+ITGB6
CXCL5,CXCR2
GDF11,TGFBR1+ACVR2A
CXCL2,ACKR1
EFNA3,EPHA7
FGF2,FGFR1
FGF20,FGFR3
COL4A1,ITGA10+ITGB1
EFNA5,EPHA8
EFNA5,EPHA3
TNFSF10,TNFRSF10D
EFNA4,EPHA1
SEMA6D,PLXNA1+KDR
CCL7,CCR1
DLL3,NOTCH4
INHBA+INHBB,ACVR1B+ACVR2B
PLAU,PLAUR
JAG1,NOTCH4
BMP7,ACVR1+ACVR2A
COL6A2,ITGA2+ITGB1
C3,ITGAM+ITGB2
CCL13,CCR1
IL21,IL21R+IL2RG
IL1A,IL1R1+IL1RAP
BMP2,BMPR1A+ACVR2A
JAG1,NOTCH3
COL9A3,ITGA11+ITGB1
NGF,NTRK1
