ligand,receptor
INHBB,ACVR1B+ACVR2B
EFNA4,EPHA2
IHH,PTCH1
CD86,CD28
COL4A4,ITGA1+ITGB1
EFNB2,EPHB3
IL2,IL2RA+IL2RB+IL2RG
COL4A1,ITGA10+ITGB1
CXCL13,ACKR4
COL6A1,ITGA1+ITGB1
CCL3,CCR1
PDCD1LG2,PDCD1
SIGLEC1,SPN
CSF1,CSF1R
JAG2,NOTCH4
COL2A1,ITGA1+ITGB1
FGF20,FGFR1
IL6,IL6R+IL6ST
ICAM1,SPN
CD28,CD86
COL4A2,ITGA1+ITGB1
COL9A2,ITGA1+ITGB1
CCL15,CCR1
TNFSF11,TNFRSF11A
TNFSF9,TNFRSF9
C3,ITGAX+ITGB2
CCL17,ACKR2
CSF3,CSF3R
FN1,ITGA4+ITGB7
EFNA1,EPHA3
CCL26,CCR3
GRN,SORT1
TNFSF14,LTBR
IGF1,IGF1R
LTA,TNFRSF14
EDN1,EDNRB
LGALS9,HAVCR2
JAG1,NOTCH1
FLT3LG,FLT3
OXT,OXTR
IL16,CD4
CCL8,CCR2
CD274,PDCD1
TGFB3,TGFBR1+TGFBR2
BMP8A,BMPR1A+ACVR2B
BMP8A,BMPR1A+BMPR2
BMP8B,BMPR1A+BMPR2
EFNB1,EPHB2
PDGFA,PDGFRA
BMP8A,BMPR1A+ACVR2A
POMC,OPRM1
FGF9,FGFR3
PF4V1,CXCR3
SEMA7A,PLXNC1
VTN,ITGAV+ITGB5
VEGFD,FLT4
SCT,SCTR
CCL11,ACKR1
SAA1,FPR2
CD6,ALCAM
TNFSF10,TNFRSF10B
JAG2,NOTCH3
VEGFA,FLT1
IL10,IL10RA+IL10RB
CCL7,ACKR2
KITLG,KIT
COL6A2,ITGA11+ITGB1
DLL4,NOTCH4
PVR,TIGIT
BMP7,BMPR1A+BMPR2
IHH,PTCH2
BMP6,BMPR1A+ACVR2A
CCL3L1,CCR3
CCL14,CCR1
TNFSF10,TNFRSF10C
CCL8,ACKR2
TGFA,EGFR
CD80,CTLA4
CDH1,ITGAE+ITGB7
CXCL13,CXCR5
FN1,ITGA5+ITGB1
CCL7,CCR1
PDGFB,PDGFRA
BMP4,BMPR1A+BMPR2
CCL2,ACKR1
COL4A2,ITGA11+ITGB1
IFNL1,IL10RB+IFNLR1
CCL5,CCR3
CCL5,CCR4
CXCL3,CXCR1
PTHLH,PTH2R
C3,CR2
SPP1,ITGA4+ITGB1
AVP,AVPR1B
EFNA2,EPHA3
VCAM1,ITGA4+ITGB1
DLL3,NOTCH1
TNFSF10,TNFRSF10A
EFNA3,EPHA1
CTF1,LIFR+IL6ST
DLL4,NOTCH2
FGF17,FGFR1
EFNA1,EPHA2
COL6A3,ITGA10+ITGB1
CD86,CTLA4
CCL7,CCR2
CCL23,FPR2
CCL17,CCR4
COL6A3,ITGA11+ITGB1
JAG2,NOTCH1
CDH1,KLRG1
BMP8B,ACVR1+ACVR2A
NECTIN2,CD226
PSAP,GPR37L1
GDF11,TGFBR1+ACVR2A
CCL5,CCR5
CD40LG,ITGAM+ITGB2
SHH,PTCH1
INHBA,ACVR1B+ACVR2B
KNG1,BDKRB1
EFNB1,EPHB1
INHBA,ACVR1B+ACVR2A
CCL5,CCR1
CTLA4,CD86
CCL22,CCR4
ALCAM,CD6
TGFB2,TGFBR1+TGFBR2
GH1,GHR
BMP4,BMPR1A+ACVR2B
CD48,CD244
EFNA2,EPHA1
SEMA4D,PLXNB2
SPP1,ITGAV+ITGB5
NCAM1,FGFR1
MDK,LRP1
CD226,NECTIN2
FGF7,FGFR2
PENK,OPRD1
TIGIT,PVR
COL4A1,ITGA11+ITGB1
CORT,SSTR3
THBS1,SDC4
EFNA4,EPHA4
EDN2,EDNRB
EFNA5,EPHA4
IL1A,IL1R1+IL1RAP
CCL28,CCR3
CD80,CD28
COL9A3,ITGA11+ITGB1
IL36G,IL1RL2+IL1RAP
NECTIN2,TIGIT
FGF2,FGFR1
OSM,OSMR+IL6ST
FGF20,FGFR2
MSTN,TGFBR1+ACVR2B
CCL19,ACKR4
TNFSF13B,TNFRSF13C
VIP,VIPR1
ENTPD1,ADORA2B
ENTPD1,ADORA2A
BMP8B,BMPR1A+ACVR2A
CADM1,CADM1
TNF,TNFRSF1B
GDF10,ACVR1B+ACVR2B
COL9A2,ITGA10+ITGB1
CXCL8,CXCR1
FN1,ITGA3+ITGB1
COL2A1,ITGA10+ITGB1
PLAU,PLAUR
TNFSF14,TNFRSF14
CCL26,CCR2
FGF2,FGFR3
CSF2,CSF2RA+CSF2RB
BDNF,NTRK2
DLL4,NOTCH3
GAL,GALR2
BTLA,TNFRSF14
VEGFB,FLT1+KDR
SPP1,ITGA5+ITGB1
GAS6,MERTK
PROS1,TYRO3
THBS1,CD36
EFNA2,EPHA4
EFNB2,EPHB2
FN1,ITGAV+ITGB1
CCL2,CCR2
PTPRC,SEMA4D
NCR3LG1,NCR3
EDA,EDA2R
MSTN,ACVR1B+ACVR2B
CCL13,CCR3
ANXA1,FPR1
IL17C,IL17RA+IL17RE
PTPRC,CD22
CXCL16,CXCR6
GUCA2B,GUCY2C
COL1A1,ITGA11+ITGB1
VEGFA,NRP1
CCL7,CCR3
IL4,IL4R+IL2RG
GAS6,AXL
OSTN,NPR3
CCL13,CCR2
MDK,ALK
COL9A2,ITGA2+ITGB1
COL4A3,ITGA10+ITGB1
CCL17,ACKR1
CCL4,CCR5
EFNA4,EPHA1
MSTN,TGFBR1+ACVR2A
CXCL1,CXCR1
CCL8,CCR1
VCAM1,ITGA4+ITGB7
FGF9,FGFR4
TNFSF18,TNFRSF18
COL9A3,ITGA10+ITGB1
DLL1,NOTCH4
PDGFB,PDGFRB
CXCL3,CXCR2
VEGFA,NRP2
CCL25,CCR9
CCL3,ACKR2
PSAP,GPR37
RARRES2,GPR1
JAG1,NOTCH4
VEGFB,FLT1
FGF9,FGFR1
EGF,EGFR
FGF22,FGFR2
COL1A1,ITGA10+ITGB1
EFNA1,EPHA4
COL9A2,ITGA11+ITGB1
CCL7,ACKR1
C3,ITGAM+ITGB2
EPO,EPHB4
SEMA4C,PLXNB2
BMP6,BMPR1A+BMPR2
CCL28,CCR10
FASLG,FAS
DLL1,NOTCH3
MST1,MST1R
CCL3L1,ACKR2
BMP7,ACVR1+BMPR2
COL4A5,ITGA11+ITGB1
MIF,CD74
HGF,MET
C3,C3AR1
PVR,CD226
CCL8,CCR5
RARRES2,CMKLR1
FN1,ITGAV+ITGB3
FN1,ITGA4+ITGB1
TNFSF10,TNFRSF10D
XCL2,XCR1
CXCL12,CXCR4
FN1,ITGA8+ITGB1
COL4A3,ITGA2+ITGB1
COL6A3,ITGA2+ITGB1
SEMA4G,PLXNB2
CCL13,CCR1
FGF20,FGFR3
BMP8B,BMPR1A+ACVR2B
PGF,NRP1
FGF17,FGFR3
SEMA4D,PLXNB1
POMC,MC1R
BMP6,ACVR1+BMPR2
IL1B,IL1R1+IL1RAP
BMP6,BMPR1A+ACVR2B
CCL11,CCR2
PTH2,PTH1R
MDK,SDC4
CX3CL1,CX3CR1
OSM,LIFR+IL6ST
IL34,CSF1R
PENK,OPRM1
EFNA4,EPHA7
SPP1,CD44
GAS6,TYRO3
COL1A1,ITGA2+ITGB1
EFNB2,EPHA4
POMC,OPRD1
VEGFB,NRP1
CXCL2,CXCR1
FGF17,FGFR2
CXCL11,ACKR3
QRFP,QRFPR
BMP7,BMPR1A+ACVR2A
PDGFC,PDGFRA
CXCL2,ACKR1
CCL11,CCR3
COL6A6,ITGA2+ITGB1
NMU,NMUR1
CXCL8,CXCR2
PTH2,PTH2R
IL2,IL2RB+IL2RG
CORT,SSTR1
COL6A2,ITGA2+ITGB1
SEMA3A,NRP1+PLXNA2
BMP7,BMPR1A+ACVR2B
BMP4,BMPR1A+ACVR2A
COL4A3,ITGA1+ITGB1
NRG2,ERBB3
PF4,CXCR3
ENTPD1,ADORA1
CCL4,ACKR2
COL4A2,ITGA2+ITGB1
CXCL10,CXCR3
CCL14,ACKR2
GDF11,ACVR1B+ACVR2B
CD99,CD99
TNFSF13B,TNFRSF13B
DLL1,NOTCH2
ICAM1,ITGAL
CCL15,CCR3
EFNA3,EPHA2
CD99,PILRA
CXCL1,CXCR2
COL6A3,ITGA1+ITGB1
SEMA3A,NRP1+PLXNA3
ITGB2,ICAM2
TNFSF13,TNFRSF17
EFNA3,EPHA3
TNF,TNFRSF1A
LGALS9,CD44
NPPC,NPR2
SEMA6A,PLXNA4
CD40LG,ITGA5+ITGB1
EFNA1,EPHA7
HBEGF,EGFR
EFNA5,EPHA2
CCL26,CCR1
AREG,EGFR
CORT,SSTR2
EFNA1,EPHA1
IL37,IL18R1+SIGIRR
COL4A3,ITGA11+ITGB1
EFNA5,EPHB2
IL7,IL7R+IL2RG
FGF9,FGFR2
EFNA4,EPHA3
CCL7,CCR5
LTA,TNFRSF1B
CCL13,ACKR2
VEGFA,FLT1+KDR
JAG1,NOTCH2
CXCL11,CXCR3
CCL14,ACKR1
SELL,CD34
DLL4,NOTCH1
CD46,JAG1
NRG1,ERBB3
SPP1,ITGA8+ITGB1
LTA,TNFRSF1A
TNFSF4,TNFRSF4
CCL5,ACKR1
EFNB2,EPHB1
CCL3,CCR5
CD22,PTPRC
COL4A4,ITGA10+ITGB1
COL9A3,ITGA2+ITGB1
BTC,ERBB4
IL13,IL13RA2
CCL8,ACKR1
PPBP,CXCR2
JAG1,NOTCH3
CXCL8,ACKR1
CD58,CD2
BMP6,ACVR1+ACVR2A
NECTIN3,NECTIN2
NPPA,NPR1
PTPRC,MRC1
ANGPT1,TEK
VEGFD,KDR
CCL18,CCR8
VEGFA,KDR
GDF11,ACVR1B+ACVR2A
COL4A2,ITGA10+ITGB1
TNFSF8,TNFRSF8
EFNA2,EPHA2
PMCH,MCHR1
JAG2,NOTCH2
IL1B,IL1R2+IL1RAP
TNFSF13,TNFRSF13B
SEMA3F,NRP2
DLL3,NOTCH3
CXCL1,ACKR1
EDN2,EDNRA
LIF,LIFR+IL6ST
ENHO,GPR19
EFNA2,EPHA7
NRG2,ERBB4
GDF11,TGFBR1+ACVR2B
SEMA4A,PLXNB2
EREG,ERBB4
HLA-F,LILRB1
COL6A2,ITGA1+ITGB1
NRG4,ERBB4
VIP,VIPR2
EFNA5,EPHA1
BMP8A,ACVR1+ACVR2A
CXCL2,CXCR2
SPP1,ITGAV+ITGB1
COL6A2,ITGA10+ITGB1
COL6A1,ITGA2+ITGB1
SEMA3A,NRP1+PLXNA1
IL15,IL15RA+IL2RB
PPBP,CXCR1
CORT,SSTR5
COL6A6,ITGA1+ITGB1
F11R,F11R
SEMA4A,PLXND1
ANXA1,FPR2
SEMA4D,CD72
CD70,CD27
EFNA3,EPHA4
ITGB2,ICAM1
COL4A4,ITGA2+ITGB1
ANGPT2,TEK
NRG3,ERBB4
IL21,IL21R+IL2RG
COL4A5,ITGA10+ITGB1
CCL3L1,CCR1
NECTIN1,CD96
BMP8A,ACVR1+ACVR2B
NECTIN3,TIGIT
TSLP,IL7R+CRLF2
CD40LG,CD40
EFNB1,EPHB3
DSC2,DSG2
COL1A2,ITGA10+ITGB1
CCL19,CCR7
FGF20,FGFR4
BMP6,ACVR1+ACVR2B
PDGFD,PDGFRB
COL4A5,ITGA1+ITGB1
VCAM1,ITGA9+ITGB1
EFNB1,EPHB6
PROS1,AXL
EFNB1,EPHB4
